book_id,title,author,genres,publication_year
10290539,The Tale of Squirrel Nutkin,Beatrix Potter,children|fiction|fantasy|paranormal|young-adult,1983
885512,The Tale of Timmy Tiptoes,Beatrix Potter,children|fiction|fantasy|paranormal|young-adult,2002
1404078,The Happy Prince,Oscar Wilde,fiction|fantasy|paranormal|children|young-adult|history|historical fiction|biography,1995
25902449,The Velveteen Rabbit,Margery Williams Bianco,children|fiction|fantasy|paranormal|young-adult,2015
823591,Anne's House of Dreams,L.M. Montgomery,fiction|young-adult|history|historical fiction|biography|children|romance,1995
774557,The Yellow Fairy Book,Andrew Lang,fantasy|paranormal|children|fiction|young-adult|non-fiction,1966
2819626,Rebecca of Sunnybrook Farm,Eliza Gatewood Warren,fiction|history|historical fiction|biography|children|young-adult,1995
901941,The Adventures of Tom Sawyer,Deidre S. Laiken,fiction|children|young-adult|history|historical fiction|biography|romance,2002
8840926,The Tale of Brownie Beaver,Arthur Scott Bailey,fiction|children|fantasy|paranormal,2010
353640,Black Beauty,Caryn Jenner,children,2005
164531,The Railway Children,E. Nesbit,children|fiction|young-adult|history|historical fiction|biography|fantasy|paranormal,2000
14578344,Puck of Pook's Hill,Rudyard Kipling,fantasy|paranormal|fiction|children|history|historical fiction|biography|young-adult|poetry|romance,2012
1819127,The Little Colonel's House Party,Annie Fellows Johnston,fiction|children|history|historical fiction|biography,1900
2752212,The Tale of Freddie Firefly,Arthur Scott Bailey,children|fiction,2006
7293254,The Mythological Zoo,Oliver Herford,poetry|fiction|children,2008
17434185,The Adventures of Pinocchio,Carlo Collodi,children|young-adult|fiction|fantasy|paranormal,2013
1291925,English Fairy Tales,Joseph Jacobs,fantasy|paranormal|fiction|children|non-fiction,1993
6603788,The Adventures of Huckleberry Finn,Deidre S. Laiken,fiction|history|historical fiction|biography|children|young-adult,1979
246546,An Old-Fashioned Girl,Louisa May Alcott,fiction|history|historical fiction|biography|children|young-adult|romance,2005
26240515,Veronica,Roger Duvoisin,children|fiction|young-adult,2016
2805247,Chronicles of Avonlea,L.M. Montgomery,fiction|young-adult|history|historical fiction|biography|children|romance,2004
2721924,The Japanese Twins,Lucy Fitch Perkins,children|history|historical fiction|biography|fiction,2006
19337,The Tale of the Flopsy Bunnies,Beatrix Potter,children|fiction|fantasy|paranormal|young-adult,2002
19336,The Tale of Jemima Puddle-Duck,Beatrix Potter,children|fiction|fantasy|paranormal|young-adult,2002
10319646,The Tale of Benjamin Bunny,Beatrix Potter,children|fiction|fantasy|paranormal|young-adult,1997
489065,The Surprising Adventures of the Magical Monarch of Mo and His People,L. Frank Baum,fantasy|paranormal|children|fiction|history|historical fiction|biography,2007
2740530,White Fang,Malvina G. Vogel,fiction|children|history|historical fiction|biography,1994
877512,The Emerald City of Oz,L. Frank Baum,fantasy|paranormal|fiction|children|young-adult,1988
11130309,The Lost Prince,Frances Hodgson Burnett,fiction|children|young-adult|history|historical fiction|biography|fantasy|paranormal|mystery|thriller|crime,2010
608727,The Tale of Ginger and Pickles,Beatrix Potter,children|fiction|fantasy|paranormal|history|historical fiction|biography|young-adult,1987
11148585,The Red Fairy Book,Andrew Lang,fantasy|paranormal|fiction|children|young-adult,2011
7685428,The Magic City,E. Nesbit,fantasy|paranormal|fiction|children|young-adult|history|historical fiction|biography,2009
1526582,Thumbelina,Marianna Mayer,children,1988
5945531,The Ugly Duckling,Hans Christian Andersen,children|fiction|fantasy|paranormal,2009
11042077,The Scarecrow of Oz,L. Frank Baum,fantasy|paranormal|children|fiction|young-adult,2007
289581,Japanese Fairy Tales,Yei Theodora Ozaki,fantasy|paranormal|fiction|children|non-fiction|history|historical fiction|biography,1992
2544136,Flower Fables,Louisa May Alcott,fantasy|paranormal|fiction|children,2000
24110437,Through the Looking-Glass,Lewis Carroll,fantasy|paranormal|fiction|children|young-adult|poetry|history|historical fiction|biography,2014
9828091,The Tale of Mrs. Tiggy-Winkle,Beatrix Potter,children|fiction|fantasy|paranormal|young-adult,1983
2092241,Tik-Tok of Oz,L. Frank Baum,fantasy|paranormal|children|fiction|young-adult,1985
922737,The Light Princess,George MacDonald,fantasy|paranormal|fiction|children|romance|young-adult,1993
2166165,The Cuckoo Clock,Mrs. Molesworth,fantasy|paranormal|fiction|children|young-adult|history|historical fiction|biography,1954
10786233,The Life and Adventures of Santa Claus,L. Frank Baum,fantasy|paranormal|fiction|children|young-adult|history|historical fiction|biography,2011
1174165,The Story Girl,L.M. Montgomery,fiction|young-adult|history|historical fiction|biography|children|romance,1991
753064,The Story of Doctor Dolittle,Hugh Lofting,children|fantasy|paranormal|fiction|young-adult|history|historical fiction|biography,2011
22855431,The Coral Island,R.M. Ballantyne,fiction|history|historical fiction|biography|children|young-adult|fantasy|paranormal,2004
17970911,The Blue Fairy Book,Andrew Lang,fantasy|paranormal|fiction|children|young-adult|romance,2013
11390638,The Woggle-Bug Book,L. Frank Baum,fantasy|paranormal|fiction|children|young-adult,2011
17468321,Peter and Wendy,J.M. Barrie,fantasy|paranormal|fiction|children|young-adult,2012
5422723,The Legend of Sleepy Hollow,Will Moses,children|fiction|history|historical fiction|biography|non-fiction,1995
1201548,Tanglewood Tales,Nathaniel Hawthorne,fiction|fantasy|paranormal|children|history|historical fiction|biography|young-adult,2007
12096887,The Boxcar Children,Gertrude Chandler Warner,children|mystery|thriller|crime|young-adult|fiction|history|historical fiction|biography,1989
10376402,The Magic of Oz,L. Frank Baum,fantasy|paranormal|children|fiction|young-adult,2011
2067866,The Story of Little Black Mingo,Helen Bannerman,children|fiction|fantasy|paranormal|comics|graphic,2006
17276850,A Christmas Carol,Malvina G. Vogel,fiction|children|history|historical fiction|biography|fantasy|paranormal,1979
633670,East of the Sun and West of the Moon,Nancy Willard,fantasy|paranormal|children|poetry|fiction|young-adult,1989
1615663,Johnny Crow's Party,L. Leslie Brooke,children,1986
1615661,Johnny Crow's Garden,L. Leslie Brooke,children|fiction|fantasy|paranormal|young-adult|poetry,1903
1329946,Jo's Boys,Louisa May Alcott,fiction|young-adult|history|historical fiction|biography|children|romance,1994
831277,The Adventures of Sherlock Holmes,Chris Sasaki,mystery|thriller|crime|fiction|children,2005
8160859,The Tortoise and the Hare,Shannon Eric Denton,children|non-fiction,2010
774576,The Olive Fairy Book,Andrew Lang,fantasy|paranormal|fiction|children|young-adult|romance|non-fiction,1968
774571,The Green Fairy Book,Andrew Lang,fantasy|paranormal|fiction|children|young-adult|non-fiction|romance,1965
8356546,The Jolliest School of All,Angela Brazil,children|young-adult|fiction,1922
787458,The Crimson Fairy Book,Andrew Lang,fantasy|paranormal|fiction|children|romance|young-adult|non-fiction,1967
1120834,The Voyages of Doctor Dolittle,Hugh Lofting,fiction|children|fantasy|paranormal|young-adult|history|historical fiction|biography,1988
6855455,The Pied Piper of Hamelin,Rose Impey,children|fantasy|paranormal,1985
1206329,The Enchanted Castle,E. Nesbit,fantasy|paranormal|children|fiction|young-adult|history|historical fiction|biography,1994
24153052,Under the Lilacs,Louisa May Alcott,fiction|young-adult|children|history|historical fiction|biography|romance,1955
1915212,The Princess and Curdie,George MacDonald,fantasy|paranormal|fiction|children|young-adult,1966
209594,Household Stories by the Brothers Grimm,Jacob Grimm,fantasy|paranormal|fiction|children|young-adult|history|historical fiction|biography|romance,1963
1943373,Gulliver's Travels,Gill Harvey,fiction|fantasy|paranormal|children|history|historical fiction|biography|young-adult,2009
128518,The Second Jungle Book,Rudyard Kipling,fiction|children|fantasy|paranormal|poetry|young-adult,2006
17871722,The Bobbsey Twins at Meadow Brook,Laura Lee Hope,mystery|thriller|crime|fiction|children|young-adult|romance,2013
6333,The Vicar of Nibbleswicke,Roald Dahl,children|fiction|young-adult|fantasy|paranormal,1994
223632,Nights With Uncle Remus,Joel Chandler Harris,fiction|history|historical fiction|biography|children,2003
1144012,A Apple Pie,Gennady Spirin,children|fiction,2005
8401283,The Tale of Mr. Tod,Beatrix Potter,children|fiction|fantasy|paranormal|young-adult|history|historical fiction|biography,2011
702481,Little Wizard Stories of Oz,L. Frank Baum,fantasy|paranormal|fiction|children|young-adult|comics|graphic,1994
151757,Slovenly Betsy,Henry Hoffmann,poetry|children|fiction,1995
10055236,Little Men: Life at Plumfield With Jo's Boys,Louisa May Alcott,fiction|young-adult|history|historical fiction|biography|children|romance,1945
2408158,The Book of Dragons,E. Nesbit,fantasy|paranormal|fiction|children|young-adult,1990
16056783,The Selfish Giant,Oscar Wilde,children|fiction|fantasy|paranormal|young-adult,2013
1294251,The Tailor of Gloucester,Beatrix Potter,children|fiction|fantasy|paranormal|young-adult|history|historical fiction|biography,1987
884055,New Chronicles of Rebecca,Kate Douglas Wiggin,fiction|children|romance|young-adult|history|historical fiction|biography,2006
2164027,The Time Machine,Shirley Bogart,fiction|children|young-adult|fantasy|paranormal|mystery|thriller|crime|history|historical fiction|biography,1993
6345961,The Thorogood Family,R.M. Ballantyne,fiction|children,2007
16129485,The Circus Procession,Unknown,poetry|children,1888
2391,Moby Dick,Shirley Bogart,fiction|young-adult|children|history|historical fiction|biography,2005
1001896,The Real Mother Goose,Blanche Fisher Wright,poetry|fiction|children|fantasy|paranormal|young-adult,1994
1413520,The Magic Fishbone,Charles Dickens,children|fiction|fantasy|paranormal|young-adult,1961
914608,Treasure Island,Deidre S. Laiken,fiction|children|young-adult|history|historical fiction|biography,1989
885522,The Tale of Little Pig Robinson,Beatrix Potter,children|fiction|comics|graphic,2002
11869068,The Bobbsey Twins at the County Fair,Laura Lee Hope,mystery|thriller|crime|fiction|children|young-adult,2011
16166469,A Christmas Hamper,Anonymous,fiction|children,2012
17885894,The Marvelous Land of Oz,L. Frank Baum,young-adult|fantasy|paranormal|children|fiction,2009
982307,What Katy Did,Susan Coolidge,children|fiction|young-adult|history|historical fiction|biography,1969
1915215,Five Children and It,E. Nesbit,fantasy|paranormal|children|fiction|young-adult|history|historical fiction|biography,1959
7956396,Little Women,Lucia Monfried,fiction|young-adult|children|history|historical fiction|biography|romance,1977
18039076,The Patchwork Girl of Oz,L. Frank Baum,fantasy|paranormal|children|fiction|young-adult,1923
6698439,Marigold Garden,Kate Greenaway,poetry|children|young-adult|fiction|history|historical fiction|biography,2009
716361,The Adventures of Buster Bear,Thornton W. Burgess,children|fantasy|paranormal|fiction|young-adult,1993
848027,Celtic Fairy Tales,Neil Philip,children|non-fiction|fantasy|paranormal|history|historical fiction|biography|fiction|young-adult,1999
752923,The Adventures of Paddy the Beaver,Thornton W. Burgess,children|fiction|fantasy|paranormal|young-adult,2000
6039473,The Story of Miss Moppet,Beatrix Potter,children|fiction|fantasy|paranormal,1987
763472,The Phoenix and the Carpet,E. Nesbit,fantasy|paranormal|children|fiction|young-adult|history|historical fiction|biography,1995
1785038,The Birds' Christmas Carol,Kate Douglas Wiggin,fiction|children|history|historical fiction|biography|young-adult,1997
10784959,Peter Pan in Kensington Gardens,J.M. Barrie,fantasy|paranormal|fiction|children|young-adult|history|historical fiction|biography,1926
774587,The Lilac Fairy Book,Andrew Lang,fantasy|paranormal|fiction|children|young-adult|romance|non-fiction,1968
6900559,The Sea Fairies,L. Frank Baum,fantasy|paranormal|fiction|children|young-adult,2008
65762,The Golden Road,L.M. Montgomery,fiction|young-adult|history|historical fiction|biography|children,1944
4238416,The Golden Goose Book,L. Leslie Brooke,fantasy|paranormal|poetry|children,1992
375711,The Tale of Mr. Jeremy Fisher,Beatrix Potter,children|fiction|fantasy|paranormal|young-adult,2002
1213297,Cornelli,Johanna Spyri,fiction|children|history|historical fiction|biography|young-adult,2006
13432994,Moni the Goat-Boy,Johanna Spyri,young-adult|history|historical fiction|biography|fiction|children,2012
423177,The Pink Fairy Book,Andrew Lang,fantasy|paranormal|fiction|children|young-adult|romance|non-fiction,1967
543163,The Orange Fairy Book,Andrew Lang,fantasy|paranormal|fiction|children|young-adult|non-fiction,1968
2892725,Hans Christian Andersen's Fairy Tales,Hans Christian Andersen,children|fantasy|paranormal|fiction|young-adult,2005
4702206,Cecily Parsley's Nursery Rhymes,Beatrix Potter,children|poetry|fiction|young-adult,1983
10606762,"Phil, the Fiddler",Horatio Alger Jr.,fiction|children|young-adult,2008
17738897,The Story of the Treasure Seekers,E. Nesbit,children|fiction|fantasy|paranormal|young-adult|history|historical fiction|biography,2013
7670284,The Tale of Mrs. Tittlemouse,Beatrix Potter,children|fiction|fantasy|paranormal|young-adult,1987
1838314,Two Little Knights of Kentucky,Annie Fellows Johnston,fiction|children|history|historical fiction|biography,1997
11696812,A Collection of Beatrix Potter Stories,Beatrix Potter,children|fiction|young-adult|fantasy|paranormal,2011
19360423,The Violet Fairy Book,Andrew Lang,fantasy|paranormal|fiction|children|young-adult|non-fiction,2013
18078320,"Through the Looking-Glass, and What Alice Found There",Lewis Carroll,fantasy|paranormal|fiction|children|young-adult|poetry|history|historical fiction|biography,1978
816216,A Wonder-Book for Girls and Boys,Nathaniel Hawthorne,fiction|children|fantasy|paranormal|non-fiction|young-adult,1994
8208186,The Bobbsey Twins at the Seashore,Laura Lee Hope,mystery|thriller|crime|fiction|children|romance|history|historical fiction|biography|young-adult,2004
21901752,Mary Louise Solves a Mystery,Edith Van Dyne,mystery|thriller|crime|fiction|children,1917
17618843,Fun and Nonsense,George Willard Bonte,poetry|children,1904
1074856,"An Elegy on the Glory of Her Sex, Mrs. Mary Blaize",Oliver Goldsmith,poetry|fiction|children,2006
873546,The Little Colonel,Annie Fellows Johnston,fiction|children|history|historical fiction|biography,2005
10233398,Goody Two-Shoes,Anonymous,history|historical fiction|biography|fiction|children|fantasy|paranormal|young-adult,2009
5230844,The Tale of Master Meadow Mouse,Arthur Scott Bailey,fiction|fantasy|paranormal|children,2008
11069937,Uncle Remus and Brer Rabbit,Joel Chandler Harris,fiction|children|young-adult|fantasy|paranormal,2011
3239357,What Katy Did at School,Susan Coolidge,children|fiction|young-adult|history|historical fiction|biography,2003
11644567,The Story of the Amulet,E. Nesbit,fantasy|paranormal|children|fiction|young-adult|history|historical fiction|biography,2008
17570264,The Land of the Blue Flower,Frances Hodgson Burnett,fantasy|paranormal|fiction|children|young-adult|history|historical fiction|biography,1993
1434248,What Katy Did Next,Susan Coolidge,children|fiction|young-adult|history|historical fiction|biography|romance,1977
658036,The Tale of Pigling Bland,Beatrix Potter,children|fiction|fantasy|paranormal|young-adult,2002
4711999,Little Prudy,Sophie May,children|young-adult,1913
3205107,Little Saint Elizabeth and Other Stories,Frances Hodgson Burnett,fiction|children|history|historical fiction|biography|fantasy|paranormal,2007
752911,Lightfoot the Deer,Thornton W. Burgess,children|fiction|fantasy|paranormal|young-adult,1998
2310655,The Tale of Tom Kitten,Beatrix Potter,children|fiction|fantasy|paranormal,1996
10621724,Polly of Pebbly Pit,Lillian Elizabeth Roy,young-adult|children|fiction,1922
906023,Billy Whiskers: The Autobiography of a Goat,Frances Trego Montgomery,fiction|children|young-adult,1969
1258005,Bowser the Hound,Thornton W. Burgess,children|fiction|fantasy|paranormal,2010
162249,The Prince and the Pauper,Shirley Bogart,children|fiction|history|historical fiction|biography|young-adult,2000
6614654,The Spartan Twins,Lucy Fitch Perkins,children|history|historical fiction|biography|fiction,2007
1189883,Dorothy and the Wizard in Oz,L. Frank Baum,children|young-adult|fantasy|paranormal|fiction,1984
1469370,The Belgian Twins,Lucy Fitch Perkins,children|non-fiction|history|historical fiction|biography,2007
774597,The Brown Fairy Book,Andrew Lang,fantasy|paranormal|fiction|children|young-adult|non-fiction,1965
2188886,The Tale of Grandfather Mole,Arthur Scott Bailey,fiction|fantasy|paranormal|children,2007
8848254,Mother Carey's Chickens,Kate Douglas Wiggin,fiction|children|history|historical fiction|biography|young-adult|romance,1911
5402661,Struwwelpeter: Merry Stories and Funny Pictures,Heinrich Hoffmann,children|fiction|poetry|fantasy|paranormal|young-adult|history|historical fiction|biography,2000
1108601,A Yankee Girl at Fort Sumter,Alice Turner Curtis,fiction|history|historical fiction|biography|children,1999
4691316,The Tale of Henrietta Hen,Arthur Scott Bailey,children|fiction,2007
29807911,The Goop Directory of Juvenile Offenders Famous for their Misdeeds and Serving as a Salutary Example for all Virtuous Children,Gelett Burgess,fiction|poetry|non-fiction|children,1913
6020750,Fairy Tales Every Child Should Know,Hamilton Wright Mabie,fiction|fantasy|paranormal|children|young-adult,2008
7312371,The Cash Boy,Horatio Alger Jr.,fiction|mystery|thriller|crime|children,2009
7104303,More English Fairy Tales,Joseph Jacobs,fantasy|paranormal|fiction|children|young-adult|history|historical fiction|biography,2008
223088,Among the Forest People,Clara Dillingham Pierson,children|history|historical fiction|biography|fiction|young-adult,2005
6375192,The Flying Girl,Edith Van Dyne,fiction|children|history|historical fiction|biography|non-fiction,2008
3411376,Uncle Wiggily's Adventures,Howard R. Garis,children|fiction|young-adult|non-fiction|mystery|thriller|crime,1912
752942,Blacky the Crow,Thornton W. Burgess,children|fiction|fantasy|paranormal|poetry,1998
4685832,The Coral Island: A Tale of the Pacific Ocean,R.M. Ballantyne,fiction|history|historical fiction|biography|children|young-adult|fantasy|paranormal,1990
1645050,The Great Panjandrum Himself,Samuel Foote,non-fiction|children|history|historical fiction|biography,2006
787540,The Grey Fairy Book,Andrew Lang,fantasy|paranormal|fiction|children|romance|non-fiction,1967
